INT	STRING	INT
138	戴秉国	1
139	戴秉國	1
140	李毅中	1
141	周铁农	1
142	周鐵農	1
143	马万祺	1
144	馬萬祺	1
145	杨晶	1
146	楊晶	1
147	李建国	1
148	李建國	1
149	白立忱	1
150	耿惠昌	1
151	司马义·铁力瓦尔地	1
152	司馬義·鐵力瓦爾地	1
153	陈奎元	1
154	陳奎元	1
155	马馼	1
156	馬馼	1
157	蒋树声	1
158	蔣樹聲	1
159	阿不来提·阿不都热西提	1
160	阿不來提·阿不都熱西提	1
161	李学举	1
162	李學舉	1
163	陈昌智	1
164	陳昌智	1
165	李兆焯	1
166	吴爱英	1
167	吳愛英	1
168	严隽琪	1
169	嚴雋琪	1
170	黄孟复	1
171	黃孟複	1
172	谢旭人	1
173	謝旭人	1
174	曹建明	1
175	刘志军	1
176	劉志軍	1
177	孙家正	1
178	孫家正	1
179	厉无畏	1
180	厲無畏	1
181	陈竺	1
182	陳竺	1
183	罗富和	1
184	羅富和	1
185	陈宗兴	1
186	陳宗興	1
187	周小川	1
188	刘家义	1
189	劉家義	1
190	汪洋	1
191	张榕明	1
192	張榕明	1
193	姜伟新	1
194	薑偉新	1
195	张梅颖	1
196	張梅穎	1
197	徐绍史	1
198	徐紹史	1
199	李源潮	1
200	桑国卫	1
201	桑國衛	1
202	董建华	1
203	董建華	1
204	尹蔚民	1
205	郑万通	1
206	鄭萬通	1
207	孙政才	1
208	孫政才	1
209	邓朴方	1
210	鄧朴方	1
211	周生贤	1
212	周生賢	1
213	陈德铭	1
214	陳德銘	1
215	徐才厚	1
216	林文漪	1
217	蔡武	1
218	NPC	1
219	王建军	1
220	王建軍	1
221	王滔	1
222	尚进	1
223	尚進	1
224	火狐	1
225	搜狐	1
226	火狐数码	1
227	火狐數碼	1
228	fuck	1
229	日本	1
230	小泉	1
231	外挂	1
232	外掛	1
233	提示	1
234	R.O.C.	1
235	ROC	1
236	SOHU	1
237	SARS	1
238	非典	1
239	731	1
240	七三一	1
241	大法	1
242	法轮大法	1
243	法輪大法	1
244	圆满	1
245	圓滿	1
246	自焚	1
247	政治	1
248	国民党	1
249	國民黨	1
250	邓小平	1
251	鄧小平	1
252	拉登	1
253	李洪志	1
254	李宏志	1
255	李红志	1
256	李紅志	1
257	李鹏	1
258	李鵬	1
259	毛泽东	1
260	毛澤東	1
261	萨达姆	1
262	薩達姆	1
263	周恩来	1
264	周恩來	1
265	朱镕基	1
266	朱鎔基	1
267	温家宝	1
268	溫家寶	1
269	希特勒	1
270	墨索里尼	1
271	山本五十六	1
272	东条英机	1
273	東條英機	1
274	天皇	1
275	立法委员	1
276	立法委員	1
277	民国	1
278	民國	1
279	青天白日	1
280	三民主义	1
281	三民主義	1
282	台湾	1
283	臺灣	1
284	中央人民共和国	1
285	中央人民共和國	1
286	国务院	1
287	國務院	1
288	党中央	1
289	黨中央	1
290	中央军委	1
291	中央軍委	1
292	主义	1
293	主義	1
294	封建	1
295	靖国	1
296	靖國	1
297	神社	1
298	法西斯	1
299	纳粹	1
300	納粹	1
301	盖世太保	1
302	蓋世太保	1
303	集中营	1
304	集中營	1
305	恐怖	1
306	贪污	1
307	貪污	1
308	腐败	1
309	腐敗	1
310	杀人	1
311	殺人	1
312	抢劫	1
313	搶劫	1
314	吸毒	1
315	毒品	1
316	犯罪	1
317	福尔摩莎	1
318	福爾摩莎	1
319	张潮阳	1
320	張潮陽	1
321	告示	1
322	工作人員	1
323	工作人员	1
324	公告	1
325	好消息	1
326	客戶服務	1
327	客服	1
328	客户服务	1
329	消息	1
330	中獎	1
331	中奖	1
332	中獎	1
333	礼品	1
334	禮品	1
335	赠品	1
336	贈品	1
337	派送	1
338	发送	1
339	發送	1
340	发奖	1
341	發獎	1
342	奖品	1
343	獎品	1
344	送出	1
345	派发	1
346	派發	1
347	抽奖	1
348	抽獎	1
349	变态	1
350	變態	1
351	娼妓	1
352	妓女	1
353	淫	1
354	你妈	1
355	你媽	1
356	强奸	1
357	強姦	1
358	傻逼	1
359	牛逼	1
360	%国民党%	1
361	%國民黨%	1
362	%江%泽%民%	1
363	%江%澤%民%	1
364	%江%贼%民%	1
365	%江%賊%民%	1
366	%江%择%民%	1
367	%江%擇%民%	1
368	%胡%锦%涛%	1
369	%胡%錦%濤%	1
370	%胡%紧%掏%	1
371	%胡%緊%掏%	1
372	%胡%紧%套%	1
373	%胡%緊%套%	1
374	胡XX	1
375	%朱%容%基%	1
376	%朱%容%鸡%	1
377	%朱%容%雞%	1
378	%猪%容%基%	1
379	%豬%容%基%	1
380	%李%鹏%	1
381	%李%鵬%	1
382	%李%岚%清%	1
383	%李%嵐%清%	1
384	%温%家%宝%	1
385	%溫%家%寶%	1
386	%乔%石%	1
387	%喬%石%	1
388	%黄%菊%	1
389	%黃%菊%	1
390	%曾%庆%红%	1
391	%曾%慶%紅%	1
392	%贾%庆%林%	1
393	%賈%慶%林%	1
394	%王%宝%森%	1
395	%王%寶%森%	1
396	%董%建%华%	1
397	%董%建%華%	1
398	%董%贱%华%	1
399	%董%賤%華%	1
400	%何%候%华%	1
401	%何%候%華%	1
402	%强%卫%	1
403	%強%衛%	1
404	%罗%干%	1
405	%羅%幹%	1
406	%骡%干%	1
407	%騾%幹%	1
408	%毛%泽%东%	1
409	%毛%澤%東%	1
410	毛XX	1
411	%邓%小%平%	1
412	%鄧%小%平%	1
413	%周%恩%来%	1
414	%周%恩%來%	1
415	%林%彪%	1
416	%江%青%	1
417	布什	1
418	布希	1
419	普京	1
420	本·拉登	1
421	安南	1
422	黄飞鸿	1
423	黃飛鴻	1
424	孙楠	1
425	孫楠	1
426	晚年周恩来	1
427	晚年周恩來	1
428	gc365	1
429	官逼民反	1
430	一党专制	1
431	一黨專制	1
432	共匪	1
433	中共	1
434	警匪一家	1
435	三个代婊	1
436	三個代婊	1
437	万税	1
438	萬稅	1
439	卖.国	1
440	賣.國	1
441	卖国	1
442	賣國	1
443	六月四日	1
444	六.四	1
445	6月4日	1
446	天安门档案	1
447	天安門檔案	1
448	FLG	1
449	F.L.G	1
450	大法弟子	1
451	多维新闻	1
452	多維新聞	1
453	大%FA弟%子	1
454	李宏旨	1
455	李弘旨	1
456	梅花网	1
457	梅花網	1
458	动乱	1
459	動亂	1
460	暴乱	1
461	暴亂	1
462	八九	1
463	法%轮%功	1
464	法%輪%功	1
465	%六%四%	1
466	liusi	1
467	真相	1
468	一个事实	1
469	一個事實	1
470	游行	1
471	遊行	1
472	民主	1
473	4.25	1
474	回教	1
475	伊斯兰	1
476	伊斯蘭	1
477	穆斯林	1
478	社. 会. 正. 义. 力. 量	1
479	社. 會. 正. 義. 力. 量	1
480	法(轮)功	1
481	法(輪)功	1
482	劳+教+所	1
483	勞+教+所	1
484	台独	1
485	台獨	1
486	台湾独立	1
487	臺灣獨立	1
488	陈水扁	1
489	陳水扁	1
490	李登辉	1
491	李登輝	1
492	东亚病夫	1
493	東亞病夫	1
494	大东亚共荣	1
495	大東亞共榮	1
496	%6%4%	1
497	政变	1
498	政變	1
499	镇压	1
500	鎮壓	1
501	反动	1
502	反動	1
503	敬国神社	1
504	敬國神社	1
505	中华民国	1
506	中華民國	1
507	中华人民共和国	1
508	中華人民共和國	1
509	卖党求荣	1
510	賣党求榮	1
511	卖国求荣	1
512	賣國求榮	1
513	红卫兵	1
514	紅衛兵	1
515	十年动乱	1
516	十年動亂	1
517	反革命	1
518	转法轮	1
519	轉法輪	1
520	东突	1
521	東突	1
522	东突组织	1
523	東突組織	1
524	分裂祖国	1
525	分裂祖國	1
526	莫索里尼	1
527	莫索裡尼	1
528	军国主义	1
529	軍國主義	1
530	%8%9%	1
531	china	1
532	四人帮	1
533	四人幫	1
534	天皇陛下	1
535	邪教	1
536	基地组织	1
537	基地組織	1
538	乳头	1
539	乳頭	1
540	火棒	1
541	肉棍子	1
542	阴户	1
543	陰戶	1
544	湿透的内裤	1
545	濕透的內褲	1
546	两腿之间	1
547	兩腿之間	1
548	欲火焚身	1
549	插深些	1
550	硬挺	1
551	阳精	1
552	陽精	1
553	口交	1
554	肛交	1
555	阴唇	1
556	陰唇	1
557	小肉粒	1
558	阴毛	1
559	陰毛	1
560	阴核	1
561	陰核	1
562	干你	1
563	幹你	1
564	操比	1
565	操逼	1
566	后庭	1
567	後庭	1
568	双峰微颤	1
569	雙峰微顫	1
570	贝肉	1
571	貝肉	1
572	玉杵	1
573	密洞	1
574	抽插	1
575	乳波臀浪	1
576	淫语连连	1
577	淫語連連	1
578	小穴	1
579	圣女峰	1
580	聖女峰	1
581	乳交	1
582	打飞机	1
583	打飛機	1
584	想上你	1
585	狗日	1
586	操你妈	1
587	操你媽	1
588	鸡奸	1
589	雞奸	1
590	妈逼	1
591	媽逼	1
592	日你妈	1
593	日你媽	1
594	性交	1
595	性爱	1
596	性愛	1
597	做爱	1
598	做愛	1
599	轮奸	1
600	輪奸	1
601	淫荡	1
602	淫蕩	1
603	荡妇	1
604	蕩婦	1
605	奸夫淫妇	1
606	姦夫淫婦	1
607	波霸	1
608	大波波	1
609	乳房	1
610	奶头	1
611	奶子	1
612	鸡鸡	1
613	雞雞	1
614	肉洞	1
615	阴茎	1
616	陰莖	1
617	操XX	1
618	性虐待	1
619	2逼	1
620	你大爷	1
621	你大爺	1
622	你二大爷	1
623	你二大爺	1
624	抽你丫的	1
625	你姥姥的	1
626	你爷爷的	1
627	你爺爺的	1
628	你妈的	1
629	你媽的	1
630	手淫	1
631	三陪	1
632	三陪女	1
633	坐台的	1
634	淫欲	1
635	操你八辈祖宗	1
636	操你八輩祖宗	1
637	贱人	1
638	賤人	1
639	淫贱	1
640	淫賤	1
641	推油	1
642	淫叫	1
643	肛门	1
644	肛門	1
645	屁眼	1
646	肉穴	1
647	生孩子没屁眼	1
648	生孩子沒屁眼	1
649	弓虽女干	1
650	弓雖女幹	1
651	睾丸	1
652	月经不调	1
653	月經不調	1
654	受虐狂	1
655	射精	1
656	吃屎	1
657	吃大便	1
658	逼毛	1
659	比毛	1
660	叫鸡	1
661	叫雞	1
662	叫小姐	1
663	性欲	1
664	SM	2
665	TNND	1
666	TMD	1
667	NND	1
668	SB	2
669	BC	2
670	SHIT	1
671	SUCK	1
672	DICK	1
673	ASS	2
674	PUSSY	1
675	FUCK YOU	1
676	game master	1
677	ｇｍ	1
678	ＧＡＭＥ　ｍａｓｔｅｒ	1
679	%刀%剑%	1
680	%刀%劍%	1
681	%管%理%员%	1
682	%管%理%員%	1
683	%东%亚%圣战%	1
684	%東%亞%聖戰%	1
685	%李%宏%志	1
686	%张%朝%陽%	1
687	%張%朝%陽%	1
688	系统提示	1
689	系統提示	1
690	温馨提示	1
691	溫馨提示	1
692	系統信息	1
693	[	1
694	]	1
695	01CDK	1
696	02CDK	1
697	十七大	1
698	开利财经	1
699	開利財經	1
700	宋平	1
701	省市换班	1
702	省市換班	1
703	胡温	1
704	胡溫	1
705	霍英东	1
706	霍英東	1
707	信息	1
708	获奖	1
709	獲獎	1
710	颁奖	1
711	頒獎	1
712	客户	1
713	客戶	1
714	送礼	1
715	送禮	1
716	派放	1
717	温馨	1
718	溫馨	1
719	慰安妇	1
720	慰安婦	1
721	支那	1
722	汉奸	1
723	漢奸	1
724	皇军	1
725	皇軍	1
726	在线	1
727	線上	1
728	新疆独立	1
729	新疆獨立	1
730	新疆 独立	1
731	新疆 獨立	1
732	台湾 独立	1
733	臺灣 獨立	1
734	台 湾 独 立	1
735	台 灣 獨 立	1
736	台湾万岁	1
737	臺灣萬歲	1
738	台湾 万岁	1
739	臺灣 萬歲	1
740	台 湾 万 岁	1
741	台 灣 萬 歲	1
742	新 疆 独 立	1
743	新 疆 獨 立	1
744	西藏独立	1
745	西藏獨立	1
746	西藏 独立	1
747	西藏 獨立	1
748	西 藏 独 立	1
749	西 藏 獨 立	1
750	幸运玩家	1
751	幸運玩家	1
752	幸 运 玩 家	1
753	幸 運 玩 家	1
754	中奖玩家	1
755	中獎玩家	1
756	中 奖 玩 家	1
757	中 獎 玩 家	1
758	法 轮 功	1
759	法 輪 功	1
760	法轮 功	1
761	法輪 功	1
762	法 轮功	1
763	法 輪功	1
764	QQ：	1
765	Q为	1
766	Q為	1
767	5173	1
768	AIDS	1
769	penis	1
770	sex	1
771	屙	1
772	爱滋	1
773	愛滋	1
774	淋病	1
775	梅毒	1
776	爱液	1
777	愛液	1
778	屄	1
779	臭机八	1
780	臭機八	1
781	臭鸡巴	1
782	臭雞巴	1
783	吹喇叭	1
784	吹箫	1
785	吹簫	1
786	催情药	1
787	催情藥	1
788	屌	1
789	龟头	1
790	龜頭	1
791	黄色	1
792	黃色	1
793	机八	1
794	機八	1
795	机巴	1
796	機巴	1
797	鸡八	1
798	雞八	1
799	机掰	1
800	機掰	1
801	鸡叭	1
802	雞叭	1
803	鸡掰	1
804	雞掰	1
805	奸	1
806	茎	2
807	莖	1
808	精液	1
809	精子	1
810	尻	1
811	滥交	1
812	濫交	1
813	乱交	1
814	亂交	1
815	卖淫	1
816	賣淫	1
817	嫖娼	1
818	强奸犯	1
819	強姦犯	1
820	情色	1
821	乳峰	1
822	乳晕	1
823	乳暈	1
824	色情	1
825	威而钢	1
826	威而鋼	1
827	威而柔	1
828	伟哥	1
829	偉哥	1
830	性高潮	1
831	性虐	1
832	穴	0
833	颜射	1
834	顏射	1
835	阳物	1
836	陽物	1
837	一夜情	1
838	阴部	1
839	陰部	1
840	阴道	1
841	陰道	1
842	阴蒂	1
843	陰蒂	1
844	阴门	1
845	陰門	1
846	淫秽	1
847	淫穢	1
848	淫乱	1
849	淫亂	1
850	淫娃	1
851	淫液	1
852	淫汁	1
853	淫穴	1
854	淫洞	1
855	援交妹	1
856	梦遗	1
857	夢遺	1
858	阳痿	1
859	陽痿	1
860	早泄	1
861	早洩	1
862	奸淫	1
863	姦淫	1
864	刘少奇	1
865	劉少奇	1
866	朱德	1
867	彭德怀	1
868	彭德懷	1
869	林彪	1
870	刘伯承	1
871	劉伯承	1
872	陈毅	1
873	陳毅	1
874	贺龙	1
875	賀龍	1
876	聂荣臻	1
877	聶榮臻	1
878	罗荣桓	1
879	羅榮桓	1
880	徐向前	1
881	叶剑英	1
882	葉劍英	1
883	李大钊	1
884	李大釗	1
885	陈独秀	1
886	陳獨秀	1
887	孙中山	1
888	孫中山	1
889	孙逸仙	1
890	孫逸仙	1
891	Bitch	1
892	bt	2
893	cao	2
894	kao	1
895	NMD	1
896	ri	2
897	K他命	1
898	白痴	1
899	白癡	1
900	笨蛋	1
901	婊子	1
902	操她妈	1
903	操她媽	1
904	操妳妈	1
905	操妳媽	1
906	操你	1
907	操他妈	1
908	操他媽	1
909	草你	1
910	肏	1
911	册那	1
912	冊那	1
913	侧那	1
914	側那	1
915	测拿	1
916	測拿	1
917	插	0
918	蠢猪	1
919	蠢豬	1
920	发骚	1
921	發騷	1
922	废物	1
923	廢物	1
924	干她妈	1
925	幹她媽	1
926	干妳	1
927	幹妳	1
928	干妳娘	1
929	幹妳娘	1
930	干你妈	1
931	幹你媽	1
932	干你妈B	1
933	幹你媽B	1
934	干你妈逼	1
935	幹你媽逼	1
936	干你娘	1
937	幹你娘	1
938	干他妈	1
939	幹他媽	1
940	狗娘养的	1
941	狗娘養的	1
942	贱货	1
943	賤貨	1
944	烂人	1
945	爛人	1
946	老母	1
947	老土	1
948	妈比	1
949	媽比	1
950	妈的	1
951	媽的	1
952	马的	1
953	馬的	1
954	妳老母的	1
955	妳娘的	1
956	你妈逼	1
957	你媽逼	1
958	破鞋	1
959	仆街	1
960	僕街	1
961	去她妈	1
962	去她媽	1
963	去妳的	1
964	去妳妈	1
965	去妳媽	1
966	去你的	1
967	去你妈	1
968	去你媽	1
969	去死	1
970	去他妈	1
971	去他媽	1
972	日你	1
973	赛她娘	1
974	賽她娘	1
975	赛妳娘	1
976	賽妳娘	1
977	赛你娘	1
978	賽你娘	1
979	赛他娘	1
980	賽他娘	1
981	骚货	1
982	騷貨	1
983	傻B	1
984	傻比	1
985	傻子	1
986	上妳	1
987	上你	1
988	神经病	0
989	神經病	1
990	屎	1
991	屎你娘	1
992	屎妳娘	1
993	他妈的	1
994	他媽的	1
995	王八蛋	1
996	我操	1
997	我日	1
998	乡巴佬	1
999	鄉巴佬	1
1000	猪猡	1
1001	豬玀	1
1002	尿	1
1003	掯	1
1004	骑你	1
1005	騎你	1
1006	湿了	1
1007	濕了	1
1008	操他	1
1009	操她	1
1010	骑他	1
1011	騎他	1
1012	骑她	1
1013	騎她	1
1014	欠骑	1
1015	欠騎	1
1016	欠人骑	1
1017	欠人騎	1
1018	来爽我	1
1019	來爽我	1
1020	来插我	1
1021	來插我	1
1022	干他	1
1023	幹他	1
1024	干她	1
1025	幹她	1
1026	干死	1
1027	幹死	1
1028	干爆	1
1029	幹爆	1
1030	干机	1
1031	幹機	1
1032	机叭	1
1033	機叭	1
1034	臭鸡	1
1035	臭雞	1
1036	臭机	1
1037	臭機	1
1038	览叫	1
1039	覽叫	1
1040	阳具	1
1041	陽具	1
1042	肉壶	1
1043	肉壺	1
1044	摸咪咪	1
1045	“SUCK PENIS”	1
1046	BLOW JOB	1
1047	KISS MY ASS	1
1048	干鸡	1
1049	幹雞	1
1050	干入	1
1051	幹入	1
1052	插你	1
1053	爽你	1
1054	干干	1
1055	幹幹	1
1056	干X	1
1057	幹X	1
1058	他干	1
1059	他幹	1
1060	干它	1
1061	幹它	1
1062	干牠	1
1063	幹牠	1
1064	干您	1
1065	幹您	1
1066	干汝	1
1067	幹汝	1
1068	干林	1
1069	幹林	1
1070	操林	1
1071	干尼	1
1072	幹尼	1
1073	操尼	1
1074	我咧干	1
1075	我咧幹	1
1076	干勒	1
1077	幹勒	1
1078	干我	1
1079	幹我	1
1080	干啦	1
1081	幹啦	1
1082	干爽	1
1083	乾爽	1
1084	欠干	1
1085	欠幹	1
1086	我干	1
1087	我幹	1
1088	来干	1
1089	來幹	1
1090	轮干	1
1091	輪幹	1
1092	干一干	1
1093	幹一干	1
1094	轮流干	1
1095	輪流幹	1
1096	援交	1
1097	奸暴	1
1098	再奸	1
1099	我奸	1
1100	奸你	1
1101	奸他	1
1102	奸她	1
1103	奸一奸	1
1104	淫湿	1
1105	淫濕	1
1106	鸡歪	1
1107	雞歪	1
1108	臭西	1
1109	吊	0
1110	遗精	1
1111	遺精	1
1112	烂逼	1
1113	爛逼	1
1114	大血比	1
1115	叼你妈	1
1116	叼你媽	1
1117	靠你妈	1
1118	靠你媽	1
1119	戳你	1
1120	逼你老母	1
1121	挨球	1
1122	我日你	1
1123	草拟妈	1
1124	草擬媽	1
1125	卖逼	1
1126	賣逼	1
1127	狗操卖逼	1
1128	狗操賣逼	1
1129	日死	1
1130	奶娘	1
1131	他娘	1
1132	她娘	1
1133	你妈了妹	1
1134	你媽了妹	1
1135	插你妈	1
1136	插你媽	1
1137	叼你	1
1138	渣波波	1
1139	嫩b	1
1140	陈云	1
1141	陳雲	1
1142	李瑞环	1
1143	李瑞環	1
1144	尉健行	1
1145	李岚清	1
1146	李嵐清	1
1147	罗干	1
1148	羅幹	1
1149	吴邦国	1
1150	吳邦國	1
1151	曾庆红	1
1152	曾慶紅	1
1153	贾庆林	1
1154	賈慶林	1
1155	黄菊	1
1156	黃菊	1
1157	吴官正	1
1158	吳官正	1
1159	回良玉	1
1160	吴仪	1
1161	吳儀	1
1162	李长春	1
1163	李長春	1
1164	曾培炎	1
1165	周永康	1
1166	曹刚川	1
1167	曹剛川	1
1168	唐家璇	1
1169	唐家璿	1
1170	华建敏	1
1171	華建敏	1
1172	陈至立	1
1173	陳至立	1
1174	陈良宇	1
1175	陳良宇	1
1176	张德江	1
1177	張德江	1
1178	张立昌	1
1179	張立昌	1
1180	俞正声	1
1181	俞正聲	1
1182	王乐泉	1
1183	王樂泉	1
1184	刘云山	1
1185	劉雲山	1
1186	王刚	1
1187	王剛	1
1188	王兆国	1
1189	王兆國	1
1190	刘淇	1
1191	劉淇	1
1192	贺国强	1
1193	賀國強	1
1194	郭伯雄	1
1195	胡耀邦	1
1196	ADMIN	1
1197	Administrator	1
1198	管理	1
1199	管里	1
1200	管裡	1
1201	服务管理	1
1202	服務管理	1
1203	服务器	1
1204	伺服器	1
1205	服務器	1
1206	活动管理员	1
1207	活動管理員	1
1208	官方	1
1209	维护	1
1210	維護	1
1211	系统公告	1
1212	系統公告	1
1213	审查	1
1214	審查	1
1215	巡查	1
1216	监督	1
1217	監督	1
1218	监管	1
1219	監管	1
1220	GAMEMASTER	1
1221	G.M	1
1222	游戏管理员	1
1223	遊戲管理員	1
1224	Client Server	1
1225	CS	2
1226	KEFU	1
1227	助理	1
1228	服务天使	1
1229	服務天使	1
1230	连战	1
1231	連戰	1
1232	宋楚瑜	1
1233	吕秀莲	1
1234	呂秀蓮	1
1235	郁慕明	1
1236	鬱慕明	1
1237	蒋介石	1
1238	蔣介石	1
1239	蒋中正	1
1240	蔣中正	1
1241	蒋经国	1
1242	蔣經國	1
1243	马英九	1
1244	馬英九	1
1245	布莱尔	1
1246	布雷爾	1
1247	纯一郎	1
1248	純一郎	1
1249	萨马兰奇	1
1250	薩馬蘭奇	1
1251	阿拉法特	1
1252	默克尔	1
1253	默克爾	1
1254	克林顿	1
1255	克林頓	1
1256	里根	1
1257	雷根	1
1258	尼克松	1
1259	尼克森	1
1260	林肯	1
1261	杜鲁门	1
1262	杜魯門	1
1263	赫鲁晓夫	1
1264	赫魯雪夫	1
1265	列宁	1
1266	列寧	1
1267	斯大林	1
1268	史達林	1
1269	马克思	1
1270	馬克思	1
1271	恩格斯	1
1272	金正日	1
1273	金日成	1
1274	胡志明	1
1275	西哈努克	1
1276	希拉克	1
1277	撒切尔	1
1278	柴契爾	1
1279	阿罗约	1
1280	阿羅約	1
1281	曼德拉	1
1282	卡斯特罗	1
1283	卡斯楚	1
1284	富兰克林	1
1285	佛蘭克林	1
1286	华盛顿	1
1287	華盛頓	1
1288	艾森豪威尔	1
1289	艾森豪	1
1290	拿破仑	1
1291	拿破崙	1
1292	亚历山大	1
1293	亞歷山大	1
1294	路易	1
1295	拉姆斯菲尔德	1
1296	拉姆斯菲爾德	1
1297	劳拉	1
1298	蘿拉	1
1299	鲍威尔	1
1300	鮑威爾	1
1301	本 拉登	1
1302	奥马尔	1
1303	奧馬爾	1
1304	达赖喇嘛	1
1305	達賴喇嘛	1
1306	江青	1
1307	张春桥	1
1308	張春橋	1
1309	姚文元	1
1310	王洪文	1
1311	冈村秀树	1
1312	岡村秀樹	1
1313	冈村宁次	1
1314	岡村寧次	1
1315	高丽朴	1
1316	高麗樸	1
1317	赵紫阳	1
1318	趙紫陽	1
1319	王丹	1
1320	沃尔开西	1
1321	沃爾開西	1
1322	李大师	1
1323	李大師	1
1324	马加爵	1
1325	馬加爵	1
1326	班禅	1
1327	班禪	1
1328	额尔德尼	1
1329	額爾德尼	1
1330	阿扁	1
1331	鲁迅	1
1332	魯迅	1
1333	莎士比亚	1
1334	莎士比亞	1
1335	爱因斯坦	1
1336	愛因斯坦	1
1337	牛顿	1
1338	牛頓	1
1339	哥白尼	1
1340	达·芬奇	1
1341	達·芬奇	1
1342	米开朗基罗	1
1343	米開朗基羅	1
1344	毕加索	1
1345	畢卡索	1
1346	梵高	1
1347	梵古	1
1348	海明威	1
1349	斯蒂芬·霍金	1
1350	六四运动	1
1351	六四運動	1
1352	美国之音	1
1353	美國之音	1
1354	密宗	1
1355	民进党	1
1356	民進黨	1
1357	民运	1
1358	民運	1
1359	民主潮	1
1360	摩门教	1
1361	摩門教	1
1362	南华早报	1
1363	南華早報	1
1364	南蛮	1
1365	南蠻	1
1366	起义	1
1367	起義	1
1368	亲民党	1
1369	親民黨	1
1370	瘸腿帮	1
1371	瘸腿幫	1
1372	打倒共产党	1
1373	打倒共產黨	1
1374	台独万岁	1
1375	台獨萬歲	1
1376	圣战	1
1377	聖戰	1
1378	示威	1
1379	台独分子	1
1380	台獨分子	1
1381	台联	1
1382	台聯	1
1383	台湾民国	1
1384	臺灣民國	1
1385	太子党	1
1386	屠杀	1
1387	屠殺	1
1388	新党	1
1389	新黨	1
1390	疆独	1
1391	疆獨	1
1392	藏独	1
1393	藏獨	1
1394	学潮	1
1395	學潮	1
1396	学运	1
1397	學運	1
1398	一党专政	1
1399	一黨專政	1
1400	一贯道	1
1401	一貫道	1
1402	造反	1
1403	政治反对派	1
1404	政治反對派	1
1405	政治犯	1
1406	中国民主党	1
1407	中國民主黨	1
1408	中国之春	1
1409	中國之春	1
1410	共党	1
1411	共黨	1
1412	苏家屯	1
1413	蘇家屯	1
1414	塔利班	1
1415	高治联	1
1416	高治聯	1
1417	高自联	1
1418	高自聯	1
1419	核工业基地	1
1420	核工業基地	1
1421	核武器	1
1422	原子弹	1
1423	原子彈	1
1424	氢弹	1
1425	氫彈	1
1426	导弹	1
1427	導彈	1
1428	核潜艇	1
1429	核潛艇	1
1430	大参考	1
1431	大參考	1
1432	小参考	1
1433	小參考	1
1434	国内动态清样	1
1435	國內動態清樣	1
1436	道教	1
1437	多维	1
1438	多維	1
1439	佛教	1
1440	佛祖	1
